,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
410,0.0063,Rattachés et meulés,24.645,3.0104,0.0435,0.02989,EN 10270-1,D,1811.0,0.001889,0.001,22.5,d-171a,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.013609999999999999
411,0.0264,Rattachés et meulés,37.563,9.8861,0.085,0.01871,EN 10270-3-1.4310,K,567.0,0.015164,0.0016,5.5,vd-207l-01,"{1: 2.88, 450: 0.31, 37: 0.82, 17: 1.09, 7: 2.18, 250: 0.36, 75: 0.67, 125: 0.44, 350: 0.33, 175: 0.39}",0.032549999999999996
412,0.0272,Rattachés et meulés,249.378,22.8754,0.047,0.018949999999999998,EN 10270-1,N,8890.0,0.012629,0.0028,3.5,d-288l,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.01114
413,0.025,Rattachés et meulés,26.318,22.4904,0.224,0.05226,EN 10270-3-1.4310,L,153.0,0.012027,0.0015,18.5,vd-207jp,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.10599
414,0.0025,Rattachés,6.725,0.0585,0.0067,0.00412,EN 10270-3-1.4310,F,2607.0,0.001036,0.0004,5.5,vd-060a,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00098
415,0.0185,Rattachés et meulés,369.396,24.3554,0.045,0.026850000000000002,EN 10270-3-1.4310,M,20352.0,0.007636,0.003,5.5,vd-288za,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.004200000000000001
416,0.002,Rattachés et meulés,17.342,0.1121,0.0087,0.00663,EN 10270-1,B,8378.0,0.0008629999999999999,0.0005,9.5,d-090c,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00068
417,0.0285,Rattachés et meulés,116.974,36.4783,0.103,0.03566,EN 10270-3-1.4310,L,1737.0,0.011824,0.0025,8.5,vd-268d,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.037899999999999996
418,0.002,Rattachés,0.594,0.0055,0.0043,0.0014,EN 10270-3-1.4310,E,205.0,0.0011140000000000002,0.00016,3.5,vd-2051,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00111
419,0.04,Rattachés et meulés,1568.815,232.2323,0.09,0.05559,EN 10270-1,AE,45592.0,0.015218,0.0063,5.5,d-381,"{1: 11.1, 75: 1.8, 3: 5.46, 37: 1.86, 17: 2.25, 250: 1.65, 7: 3.49, 125: 1.74, 350: 1.6, 175: 1.7}",0.01349
