,B,Bague_depaulement,C,C0,C2,D,D1,D3,Da_max,Da_min,Db_min,EF,Mass,Pu,Vmax,Vref,Y,b,b1,d,d1,da_max,da_min,db_min,e,h,kr,name,r12_min,r34_min,ra_max,rb_max,s_max
52,0.017,0,56000.0,48000.0,0.0,0.07200000000000001,0.0,0.0,0.06720000000000001,0.066,0.0,0.064,0.3,6100.0,1256.6370614359173,1151.9173063162573,0.6,0.0,0.0,0.035,0.048100000000000004,0.062,0.0418,0.0,0.2,0.0,0.12,N_207_ECP,0.0011,0.0006,0.001,0.0006,0.0013000000000000002
53,0.018000000000000002,0,62000.0,53000.0,0.0,0.08,0.0,0.0,0.0741,0.073,0.0,0.07150000000000001,0.43,6700.0,1466.0765716752367,994.8376736367678,0.6,0.0,0.0,0.04,0.054,0.069,0.047,0.0,0.2,0.0,0.12,N_208_ECMB,0.0011,0.0011,0.001,0.001,0.0014
54,0.018000000000000002,0,62000.0,53000.0,0.0,0.08,0.0,0.0,0.0741,0.073,0.0,0.07150000000000001,0.37,6700.0,1151.9173063162573,994.8376736367678,0.6,0.0,0.0,0.04,0.054,0.069,0.047,0.0,0.2,0.0,0.12,N_208_ECP,0.0011,0.0011,0.001,0.001,0.0014
55,0.018000000000000002,0,62000.0,53000.0,0.0,0.08,0.0,0.0,0.0741,0.073,0.0,0.07150000000000001,0.37,6700.0,1151.9173063162573,994.8376736367678,0.6,0.0,0.0,0.04,0.054,0.069,0.047,0.0,0.2,0.0,0.12,N_208_ECPH,0.0011,0.0011,0.001,0.001,0.0014
56,0.019,0,69500.0,64000.0,0.0,0.085,0.0,0.0,0.07909999999999999,0.078,0.0,0.0765,0.49,8150.0,994.8376736367678,942.477796076938,0.6,0.0,0.0,0.045,0.059000000000000004,0.074,0.052000000000000005,0.0,0.2,0.0,0.12,N_209_ECM,0.0011,0.0011,0.001,0.001,0.0012
57,0.019,0,69500.0,64000.0,0.0,0.085,0.0,0.0,0.07909999999999999,0.078,0.0,0.0765,0.43,8150.0,994.8376736367678,942.477796076938,0.6,0.0,0.0,0.045,0.059000000000000004,0.074,0.052000000000000005,0.0,0.2,0.0,0.12,N_209_ECP,0.0011,0.0011,0.001,0.001,0.0012
58,0.29,0,12800000.0,30500000.0,0.0,1.75,0.0,0.0,1.716,1.6500000000000001,0.0,1.635,2320.0,1760000.0,20.943951023931955,17.802358370342162,0.0,0.0,0.0,1.25,1.435,1.625,1.284,0.0,0.3,0.0,0.14,N_20_1250_MB,0.0095,0.0,0.008,0.0,0.016399999999999998
59,0.02,0,73500.0,69500.0,0.0,0.09,0.0,0.0,0.084,0.083,0.0,0.0815,0.48,8800.0,942.477796076938,890.117918517108,0.6,0.0,0.0,0.05,0.064,0.079,0.057,0.0,0.2,0.0,0.12,N_210_ECP,0.0011,0.0011,0.001,0.001,0.0015
60,0.021,0,96500.0,95000.0,0.0,0.1,0.0,0.0,0.093,0.092,0.0,0.09,0.65,12200.0,837.7580409572781,785.3981633974483,0.6,0.0,0.0,0.055,0.0708,0.088,0.063,0.0,0.2,0.0,0.12,N_211_ECP,0.0015,0.0011,0.0015,0.001,0.001
61,0.022,0,108000.0,102000.0,0.0,0.11,0.0,0.0,0.10300000000000001,0.10200000000000001,0.0,0.1,0.93,13400.0,785.3981633974483,701.6223593017205,0.6,0.0,0.0,0.06,0.0775,0.098,0.068,0.0,0.2,0.0,0.12,N_212_ECM,0.0015,0.0015,0.0015,0.0015,0.0014
62,0.022,0,108000.0,102000.0,0.0,0.11,0.0,0.0,0.10300000000000001,0.10200000000000001,0.0,0.1,0.79,13400.0,785.3981633974483,701.6223593017205,0.6,0.0,0.0,0.06,0.0775,0.098,0.068,0.0,0.2,0.0,0.12,N_212_ECP,0.0015,0.0015,0.0015,0.0015,0.0014
63,0.023,0,122000.0,118000.0,0.0,0.12,0.0,0.0,0.112,0.111,0.0,0.1085,1.03,15600.0,701.6223593017205,659.7344572538566,0.6,0.0,0.0,0.065,0.0844,0.106,0.074,0.0,0.2,0.0,0.12,N_213_ECP,0.0015,0.0015,0.0015,0.0015,0.0014
64,0.024,0,137000.0,137000.0,0.0,0.125,0.0,0.0,0.117,0.116,0.0,0.1135,1.11,18000.0,659.7344572538566,628.3185307179587,0.6,0.0,0.0,0.07,0.08940000000000001,0.111,0.079,0.0,0.2,0.0,0.12,N_214_ECP,0.0015,0.0015,0.0015,0.0015,0.0012
65,0.025,0,150000.0,156000.0,0.0,0.13,0.0,0.0,0.122,0.121,0.0,0.11850000000000001,1.22,20400.0,628.3185307179587,586.4306286700946,0.6,0.0,0.0,0.075,0.0943,0.116,0.084,0.0,0.2,0.0,0.12,N_215_ECP,0.0015,0.0015,0.0015,0.0015,0.0012
66,0.026000000000000002,0,160000.0,166000.0,0.0,0.14,0.0,0.0,0.131,0.13,0.0,0.1273,1.52,21200.0,586.4306286700946,555.0147021341968,0.6,0.0,0.0,0.08,0.101,0.125,0.09,0.0,0.2,0.0,0.12,N_216_ECP,0.002,0.002,0.002,0.002,0.0014
67,0.028,0,190000.0,200000.0,0.0,0.15,0.0,0.0,0.14,0.139,0.0,0.1365,2.18,25000.0,555.0147021341968,502.6548245743669,0.6,0.0,0.0,0.085,0.107,0.134,0.096,0.0,0.2,0.0,0.12,N_217_ECM,0.002,0.002,0.002,0.002,0.0015
68,0.028,0,190000.0,200000.0,0.0,0.15,0.0,0.0,0.14,0.139,0.0,0.1365,1.89,25000.0,555.0147021341968,502.6548245743669,0.6,0.0,0.0,0.085,0.107,0.134,0.096,0.0,0.2,0.0,0.12,N_217_ECP,0.002,0.002,0.002,0.002,0.0015
69,0.03,0,208000.0,220000.0,0.0,0.16,0.0,0.0,0.149,0.148,0.0,0.145,2.32,27000.0,523.5987755982989,471.238898038469,0.6,0.0,0.0,0.09,0.114,0.14200000000000002,0.101,0.0,0.2,0.0,0.12,N_218_ECP,0.002,0.002,0.002,0.002,0.0018000000000000002
70,0.032,0,255000.0,265000.0,0.0,0.17,0.0,0.0,0.159,0.157,0.0,0.1545,2.83,32500.0,502.6548245743669,450.294947014537,0.6,0.0,0.0,0.095,0.12,0.152,0.107,0.0,0.2,0.0,0.12,N_219_ECP,0.0021000000000000003,0.0021000000000000003,0.002,0.002,0.0017
71,0.023,0,69500.0,63000.0,0.0,0.07200000000000001,0.0,0.0,0.06720000000000001,0.066,0.0,0.064,0.5,8150.0,1256.6370614359173,1151.9173063162573,0.4,0.0,0.0,0.035,0.048100000000000004,0.062,0.0418,0.0,0.3,0.0,0.16,N_2207_ECM,0.0011,0.0006,0.001,0.0006,0.0028
72,0.034,0,285000.0,305000.0,0.0,0.18,0.0,0.0,0.168,0.166,0.0,0.163,3.44,36500.0,471.238898038469,418.87902047863906,0.6,0.0,0.0,0.1,0.127,0.16,0.113,0.0,0.2,0.0,0.12,N_220_ECP,0.0021000000000000003,0.0021000000000000003,0.002,0.002,0.0017
73,0.036000000000000004,0,300000.0,315000.0,0.0,0.19,0.0,0.0,0.178,0.176,0.0,0.17300000000000001,3.88,36500.0,450.294947014537,397.93506945470716,0.6,0.0,0.0,0.105,0.134,0.17,0.117,0.0,0.2,0.0,0.12,N_221_ECP,0.0021000000000000003,0.0021000000000000003,0.002,0.002,0.002
74,0.038,0,335000.0,365000.0,0.0,0.2,0.0,0.0,0.188,0.184,0.0,0.1805,5.53,42500.0,418.87902047863906,376.99111843077515,0.6,0.0,0.0,0.11,0.14100000000000001,0.177,0.122,0.0,0.2,0.0,0.12,N_222_ECM,0.0021000000000000003,0.0021000000000000003,0.002,0.002,0.0021000000000000003
75,0.038,0,335000.0,365000.0,0.0,0.2,0.0,0.0,0.188,0.184,0.0,0.1805,4.79,42500.0,418.87902047863906,376.99111843077515,0.6,0.0,0.0,0.11,0.14100000000000001,0.177,0.122,0.0,0.2,0.0,0.12,N_222_ECP,0.0021000000000000003,0.0021000000000000003,0.002,0.002,0.0021000000000000003
